GENESIS, INAUGURAL, WEBTEXT, BROWN, GUTENBERG
,,,0.35342,,
,,,0.39839,,
,,,0.44914,,
,,,0.38628,,
,,,0.3658,,
,,,0.35689,,
,,,0.39628,,
,,,0.3949,,
,,,0.39948,,
,,,0.38352,,
,,,0.40911,,
,,,0.36259,,
,,,0.42901,,
,,,0.41854,,
,,,0.40935,,
,,,0.36391,,
,,,0.36663,,
,,,0.41162,,
,,,0.40476,,
,,,0.3834,,
,,,0.37132,,
,,,0.34711,,
,,,0.40913,,
,,,0.42069,,
,,,0.41663,,
,,,0.44039,,
,,,0.38598,,
,,,0.39655,,
,,,0.38385,,
,,,0.40072,,
,,,0.37637,,
,,,0.39406,,
,,,0.38468,,
,,,0.39633,,
,,,0.4245,,
,,,0.38237,,
,,,0.38731,,
,,,0.45409,,
,,,0.39601,,
,,,0.4369,,
,,,0.37813,,
,,,0.4066,,
,,,0.43348,,
,,,0.35137,,
,,,0.38886,,
,,,0.39499,,
,,,0.44754,,
,,,0.36325,,
,,,0.39168,,
,,,0.37762,,
,,,0.39165,,
,,,0.40138,,
,,,0.36207,,
,,,0.39431,,
,,,0.43717,,
,,,0.39127,,
,,,0.42652,,
,,,0.4008,,
,,,0.38736,,
,,,0.38482,,
,,,0.3843,,
,,,0.38793,,
,,,0.41325,,
,,,0.36548,,
,,,0.38806,,
,,,0.40624,,
,,,0.38405,,
,,,0.39476,,
,,,0.41836,,
,,,0.42244,,
,,,0.36611,,
,,,0.39283,,
,,,0.43728,,
,,,0.43225,,
,,,0.37715,,
,,,0.34748,,
,,,0.40471,,
,,,0.36302,,
,,,0.39866,,
,,,0.41486,,
,,,0.41942,,
,,,0.40417,,
,,,0.35023,,
,,,0.44297,,
,,,0.39608,,
,,,0.38985,,
,,,0.3659,,
,,,0.37126,,
,,,0.41521,,
,,,0.28311,,
,,,0.39195,,
,,,0.4531,,
,,,0.32729,,
,,,0.38824,,
,,,0.30983,,
,,,0.34442,,
,,,0.40336,,
,,,0.35741,,
,,,0.30048,,
,,,0.32653,,
,,,0.39884,,
,,,0.37002,,
,,,0.32246,,
,,,0.35452,,
,,,0.37596,,
,,,0.38795,,
,,,0.45644,,
,,,0.41613,,
,,,0.35661,,
,,,0.37369,,
,,,0.38843,,
,,,0.35451,,
,,,0.38851,,
,,,0.40434,,
,,,0.35227,,
,,,0.35587,,
,,,0.34398,,
,,,0.36045,,
,,,0.39205,,
,,,0.38465,,
,,,0.35014,,
,,,0.41678,,
,,,0.33505,,
,,,0.33743,,
,,,0.37011,,
,,,0.36709,,
,,,0.35494,,
,,,0.29192,,
,,,0.39655,,
,,,0.35661,,
,,,0.33033,,
,,,0.34089,,
,,,0.34726,,
,,,0.28917,,
,,,0.30558,,
,,,0.36534,,
,,,0.36681,,
,,,0.35491,,
,,,0.39982,,
,,,0.40422,,
,,,0.39085,,
,,,0.35601,,
,,,0.36527,,
,,,0.36475,,
,,,0.32536,,
,,,0.40718,,
,,,0.41596,,
,,,0.36009,,
,,,0.42126,,
,,,0.43255,,
,,,0.39078,,
,,,0.42436,,
,,,0.38134,,
,,,0.33736,,
,,,0.38904,,
,,,0.36185,,
,,,0.34407,,
,,,0.37495,,
,,,0.39337,,
,,,0.38133,,
,,,0.36458,,
,,,0.33733,,
,,,0.3807,,
,,,0.36676,,
,,,0.40777,,
,,,0.37257,,
,,,0.35767,,
,,,0.39059,,
,,,0.36869,,
,,,0.36021,,
,,,0.47849,,
,,,0.42071,,
,,,0.36364,,
,,,0.38479,,
,,,0.32774,,
,,,0.42072,,
,,,0.37406,,
,,,0.41057,,
,,,0.3493,,
,,,0.38267,,
,,,0.4592,,
,,,0.38625,,
,,,0.38848,,
,,,0.37888,,
,,,0.36446,,
,,,0.38371,,
,,,0.37576,,
,,,0.33494,,
,,,0.33516,,
,,,0.34495,,
,,,0.30059,,
,,,0.29204,,
,,,0.31049,,
,,,0.36173,,
,,,0.32593,,
,,,0.33545,,
,,,0.28933,,
,,,0.41585,,
,,,0.35492,,
,,,0.36311,,
,,,0.38882,,
,,,0.42857,,
,,,0.3974,,
,,,0.40469,,
,,,0.33755,,
,,,0.3639,,
,,,0.42274,,
,,,0.45024,,
,,,0.36477,,
,,,0.37891,,
,,,0.3468,,
,,,0.40736,,
,,,0.39872,,
,,,0.36824,,
,,,0.36869,,
,,,0.37941,,
,,,0.43868,,
,,,0.43838,,
,,,0.39066,,
,,,0.36406,,
,,,0.39767,,
,,,0.39672,,
,,,0.3981,,
,,,0.43677,,
,,,0.39892,,
,,,0.40621,,
,,,0.37147,,
,,,0.41873,,
,,,0.4246,,
,,,0.41941,,
,,,0.39456,,
,,,0.41357,,
,,,0.39055,,
,,,0.43444,,
,,,0.39168,,
,,,0.39735,,
,,,0.39323,,
,,,0.39314,,
,,,0.4135,,
,,,0.35289,,
,,,0.40291,,
,,,0.35252,,
,,,0.38422,,
,,,0.39934,,
,,,0.37826,,
,,,0.43675,,
,,,0.36996,,
,,,0.36864,,
,,,0.35543,,
,,,0.41221,,
,,,0.40897,,
,,,0.41537,,
,,,0.3387,,
,,,0.38308,,
,,,0.40525,,
,,,0.38846,,
,,,0.35796,,
,,,0.41127,,
,,,0.40278,,
,,,0.40957,,
,,,0.36975,,
,,,0.37846,,
,,,0.4092,,
,,,0.43835,,
,,,0.35497,,
,,,0.41328,,
,,,0.39066,,
,,,0.37839,,
,,,0.37088,,
,,,0.3684,,
,,,0.38998,,
,,,0.35867,,
,,,0.39474,,
,,,0.33888,,
,,,0.37011,,
,,,0.47385,,
,,,0.37281,,
,,,0.39728,,
,,,0.38659,,
,,,0.39256,,
,,,0.40996,,
,,,0.3698,,
,,,0.37924,,
,,,0.36736,,
,,,0.39771,,
,,,0.37571,,
,,,0.35352,,
,,,0.40823,,
,,,0.43233,,
,,,0.36788,,
,,,0.37745,,
,,,0.38193,,
,,,0.36998,,
,,,0.37652,,
,,,0.43116,,
,,,0.49703,,
,,,0.42037,,
,,,0.44032,,
,,,0.42103,,
,,,0.429,,
,,,0.36625,,
,,,0.35341,,
,,,0.34772,,
,,,0.38811,,
,,,0.39692,,
,,,0.40465,,
,,,0.4028,,
,,,0.3869,,
,,,0.41376,,
,,,0.35271,,
,,,0.34311,,
,,,0.42294,,
,,,0.43081,,
,,,0.36926,,
,,,0.41642,,
,,,0.32892,,
,,,0.37838,,
,,,0.38587,,
,,,0.36181,,
,,,0.4375,,
,,,0.36445,,
,,,0.38907,,
,,,0.39984,,
,,,0.35133,,
,,,0.38808,,
